FamilyPilot capital-first thumb actions final public gate
PUBLIC-URL: https://maloma.github.io/sandbox/
HTTP-STATUS: 200
EXPECTED-INDEX-SHA256: 7401cb001cbdbbdf4a87023b10465856859d5608dd5dc3ad6110902b49b1c368
PUBLIC-INDEX-SHA256: 7401cb001cbdbbdf4a87023b10465856859d5608dd5dc3ad6110902b49b1c368
PUBLIC-RUNTIME-MATCH: VERIFIED
CAPITAL-FIRST-MOBILE: VERIFIED
CAPITAL-FIRST-DESKTOP: VERIFIED
INLINE-TOP-OPERATION-ACTIONS: ABSENT
LOWER-THUMB-ZONE-ACTIONS: VERIFIED
DOCK-TOP-AND-BOTTOM-SPACING: VERIFIED
DOCK-ABOVE-NAVIGATION: VERIFIED
DOCK-HIDDEN-OUTSIDE-OPERATION-CONTEXT: VERIFIED
TOP-UTILITY-BAR: ABSENT
WALLET-AND-THEME-IN-MORE: VERIFIED
CATEGORY-50-CHARACTER-CONTRACT: PRESERVED
MOBILE-HORIZONTAL-OVERFLOW: NONE
DESKTOP-HORIZONTAL-OVERFLOW: NONE
MODAL-SCROLL-LOCK-REGRESSION: NONE
PAGE-POSITION-RESTORE-REGRESSION: NONE
MOBILE-JAVASCRIPT-ERRORS: NONE
DESKTOP-JAVASCRIPT-ERRORS: NONE
DESKTOP-APP-WIDTH: 520
VERIFICATION-WORKFLOW-RUN: 29868922838
VERIFICATION-STEP: SUCCESS
PACKAGE-CLOSURE: PUBLIC-VERIFIED
